Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,SEO Title,SEO Description,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit
the-bees-knees,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1570/1695/products/beesknees.jpg?v=1649398509,1,,,,,,,,,,,,,,,,,,,
the-bees-knees,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1570/1695/products/IMG_5925.jpg?v=1649399207,2,,,,,,,,,,,,,,,,,,,
the-bees-knees,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1570/1695/products/IMG_5924.jpg?v=1649399289,3,,,,,,,,,,,,,,,,,,,
the-dandy-long,The Dandy - LONG,"<h1>The Dandy: a 1920s floral in LONG</h1>
<ul>
<li>Green and yellow dandelions on an inky blue background</li>
<li>Made from premium Italian fabric <meta charset=""utf-8"">with <meta charset=""utf-8"">recycled polyester and Xtra Life Lycra<meta charset=""utf-8""> <span>®</span>
</li>
<li>Ethically manufactured<span data-mce-fragment=""1""> </span>in Portland, Oregon, USA</li>
<li>Made in small batches for zero waste</li>
<li>Fully lined front for great coverage</li>
<li>Ultra chlorine-resistant</li>
<li>UPF 50+ UV protection</li>
</ul>
<p><strong>Note:</strong><span> </span>Our unisex sizing is unique: please check our <a href=""https://www.beefcakeswimwear.com/pages/sizing"" target=""_blank"">size chart</a>!</p>
<p>Worried about length? Check out the <a href=""https://www.beefcakeswimwear.com/products/the-stone-fox-long"">Stone Fox in a long torso</a>! </p>",Beefcake Swimwear,swimsuit,,TRUE,Size,XS LONG,,,,,XSDANDL,170,shopify,1,deny,manual,99.00,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,
the-dandy-long,The Dandy - LONG,"<h1>The Dandy: a 1920s floral in LONG</h1>
<ul>
<li>Green and yellow dandelions on an inky blue background</li>
<li>Made from premium Italian fabric <meta charset=""utf-8"">with <meta charset=""utf-8"">recycled polyester and Xtra Life Lycra<meta charset=""utf-8""> <span>®</span>
</li>
<li>Ethically manufactured<span data-mce-fragment=""1""> </span>in Portland, Oregon, USA</li>
<li>Made in small batches for zero waste</li>
<li>Fully lined front for great coverage</li>
<li>Ultra chlorine-resistant</li>
<li>UPF 50+ UV protection</li>
</ul>
<p><strong>Note:</strong><span> </span>Our unisex sizing is unique: please check our <a href=""https://www.beefcakeswimwear.com/pages/sizing"" target=""_blank"">size chart</a>!</p>
<p>Worried about length? Check out the <a href=""https://www.beefcakeswimwear.com/products/the-stone-fox-long"">Stone Fox in a long torso</a>! </p>",Beefcake Swimwear,swimsuit,,TRUE,Size,S LONG,,,,,SDANDL,198,shopify,1,deny,manual,99.00,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,
the-dandy-long,The Dandy - LONG,"<h1>The Dandy: a 1920s floral in LONG</h1>
<ul>
<li>Green and yellow dandelions on an inky blue background</li>
<li>Made from premium Italian fabric <meta charset=""utf-8"">with <meta charset=""utf-8"">recycled polyester and Xtra Life Lycra<meta charset=""utf-8""> <span>®</span>
</li>
<li>Ethically manufactured<span data-mce-fragment=""1""> </span>in Portland, Oregon, USA</li>
<li>Made in small batches for zero waste</li>
<li>Fully lined front for great coverage</li>
<li>Ultra chlorine-resistant</li>
<li>UPF 50+ UV protection</li>
</ul>
<p><strong>Note:</strong><span> </span>Our unisex sizing is unique: please check our <a href=""https://www.beefcakeswimwear.com/pages/sizing"" target=""_blank"">size chart</a>!</p>
<p>Worried about length? Check out the <a href=""https://www.beefcakeswimwear.com/products/the-stone-fox-long"">Stone Fox in a long torso</a>! </p>",Beefcake Swimwear,swimsuit,,TRUE,Size,M LONG,,,,,MDANDL,198,shopify,1,deny,manual,99.00,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,
the-dandy-long,The Dandy - LONG,"<h1>The Dandy: a 1920s floral in LONG</h1>
<ul>
<li>Green and yellow dandelions on an inky blue background</li>
<li>Made from premium Italian fabric <meta charset=""utf-8"">with <meta charset=""utf-8"">recycled polyester and Xtra Life Lycra<meta charset=""utf-8""> <span>®</span>
</li>
<li>Ethically manufactured<span data-mce-fragment=""1""> </span>in Portland, Oregon, USA</li>
<li>Made in small batches for zero waste</li>
<li>Fully lined front for great coverage</li>
<li>Ultra chlorine-resistant</li>
<li>UPF 50+ UV protection</li>
</ul>
<p><strong>Note:</strong><span> </span>Our unisex sizing is unique: please check our <a href=""https://www.beefcakeswimwear.com/pages/sizing"" target=""_blank"">size chart</a>!</p>
<p>Worried about length? Check out the <a href=""https://www.beefcakeswimwear.com/products/the-stone-fox-long"">Stone Fox in a long torso</a>! </p>",Beefcake Swimwear,swimsuit,,TRUE,Size,L LONG,,,,,LDANDL,227,shopify,0,deny,manual,99.00,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,
the-dandy-long,The Dandy - LONG,"<h1>The Dandy: a 1920s floral in LONG</h1>
<ul>
<li>Green and yellow dandelions on an inky blue background</li>
<li>Made from premium Italian fabric <meta charset=""utf-8"">with <meta charset=""utf-8"">recycled polyester and Xtra Life Lycra<meta charset=""utf-8""> <span>®</span>
</li>
<li>Ethically manufactured<span data-mce-fragment=""1""> </span>in Portland, Oregon, USA</li>
<li>Made in small batches for zero waste</li>
<li>Fully lined front for great coverage</li>
<li>Ultra chlorine-resistant</li>
<li>UPF 50+ UV protection</li>
</ul>
<p><strong>Note:</strong><span> </span>Our unisex sizing is unique: please check our <a href=""https://www.beefcakeswimwear.com/pages/sizing"" target=""_blank"">size chart</a>!</p>
<p>Worried about length? Check out the <a href=""https://www.beefcakeswimwear.com/products/the-stone-fox-long"">Stone Fox in a long torso</a>! </p>",Beefcake Swimwear,swimsuit,,TRUE,Size,XL LONG,,,,,XLDANDL,241,shopify,1,deny,manual,99.00,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,
the-dandy-long,The Dandy - LONG,"<h1>The Dandy: a 1920s floral in LONG</h1>
<ul>
<li>Green and yellow dandelions on an inky blue background</li>
<li>Made from premium Italian fabric <meta charset=""utf-8"">with <meta charset=""utf-8"">recycled polyester and Xtra Life Lycra<meta charset=""utf-8""> <span>®</span>
</li>
<li>Ethically manufactured<span data-mce-fragment=""1""> </span>in Portland, Oregon, USA</li>
<li>Made in small batches for zero waste</li>
<li>Fully lined front for great coverage</li>
<li>Ultra chlorine-resistant</li>
<li>UPF 50+ UV protection</li>
</ul>
<p><strong>Note:</strong><span> </span>Our unisex sizing is unique: please check our <a href=""https://www.beefcakeswimwear.com/pages/sizing"" target=""_blank"">size chart</a>!</p>
<p>Worried about length? Check out the <a href=""https://www.beefcakeswimwear.com/products/the-stone-fox-long"">Stone Fox in a long torso</a>! </p>",Beefcake Swimwear,swimsuit,,TRUE,Size,1X LONG,,,,,1XDANDL,255,shopify,0,deny,manual,99.00,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,
the-dandy-long,The Dandy - LONG,"<h1>The Dandy: a 1920s floral in LONG</h1>
<ul>
<li>Green and yellow dandelions on an inky blue background</li>
<li>Made from premium Italian fabric <meta charset=""utf-8"">with <meta charset=""utf-8"">recycled polyester and Xtra Life Lycra<meta charset=""utf-8""> <span>®</span>
</li>
<li>Ethically manufactured<span data-mce-fragment=""1""> </span>in Portland, Oregon, USA</li>
<li>Made in small batches for zero waste</li>
<li>Fully lined front for great coverage</li>
<li>Ultra chlorine-resistant</li>
<li>UPF 50+ UV protection</li>
</ul>
<p><strong>Note:</strong><span> </span>Our unisex sizing is unique: please check our <a href=""https://www.beefcakeswimwear.com/pages/sizing"" target=""_blank"">size chart</a>!</p>
<p>Worried about length? Check out the <a href=""https://www.beefcakeswimwear.com/products/the-stone-fox-long"">Stone Fox in a long torso</a>! </p>",Beefcake Swimwear,swimsuit,,TRUE,Size,2X LONG,,,,,2XDANDL,283,shopify,1,deny,manual,99.00,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,
